Shot Chart Detail,0021400071,81,200794,Paul Millsap,1610612737,Atlanta Hawks,1,3,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-120,138,1,1
Shot Chart Detail,0021400071,88,200794,Paul Millsap,1610612737,Atlanta Hawks,1,3,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-30,260,1,0
Shot Chart Detail,0021400071,188,200794,Paul Millsap,1610612737,Atlanta Hawks,2,6,20,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,61,61,1,0
Shot Chart Detail,0021400071,189,200794,Paul Millsap,1610612737,Atlanta Hawks,2,6,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,3,1,0
Shot Chart Detail,0021400071,320,200794,Paul Millsap,1610612737,Atlanta Hawks,3,6,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,15,1,1
Shot Chart Detail,0021400071,343,200794,Paul Millsap,1610612737,Atlanta Hawks,3,3,42,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-8,67,1,0
Shot Chart Detail,0021400071,461,200794,Paul Millsap,1610612737,Atlanta Hawks,4,5,2,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,4,1,1
Shot Chart Detail,0021400071,527,200794,Paul Millsap,1610612737,Atlanta Hawks,4,0,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,51,172,1,0
Shot Chart Detail,0021400071,591,200794,Paul Millsap,1610612737,Atlanta Hawks,5,0,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,162,197,1,0
Shot Chart Detail,0021400084,3,200794,Paul Millsap,1610612737,Atlanta Hawks,1,11,17,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-29,48,1,0
Shot Chart Detail,0021400084,43,200794,Paul Millsap,1610612737,Atlanta Hawks,1,7,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,0
Shot Chart Detail,0021400084,46,200794,Paul Millsap,1610612737,Atlanta Hawks,1,6,40,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,6,1,0
Shot Chart Detail,0021400084,258,200794,Paul Millsap,1610612737,Atlanta Hawks,2,3,31,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,6,1,1
Shot Chart Detail,0021400084,273,200794,Paul Millsap,1610612737,Atlanta Hawks,2,2,23,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-48,42,1,1
Shot Chart Detail,0021400084,315,200794,Paul Millsap,1610612737,Atlanta Hawks,3,10,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,15,1,1
Shot Chart Detail,0021400084,375,200794,Paul Millsap,1610612737,Atlanta Hawks,3,4,51,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,17,1,0
Shot Chart Detail,0021400084,440,200794,Paul Millsap,1610612737,Atlanta Hawks,3,0,35,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,12,1,0
Shot Chart Detail,0021400084,445,200794,Paul Millsap,1610612737,Atlanta Hawks,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,106,227,1,0
Shot Chart Detail,0021400084,485,200794,Paul Millsap,1610612737,Atlanta Hawks,4,7,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-133,206,1,0
Shot Chart Detail,0021400084,517,200794,Paul Millsap,1610612737,Atlanta Hawks,4,3,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,6,186,1,0
Shot Chart Detail,0021400100,5,200794,Paul Millsap,1610612737,Atlanta Hawks,1,10,51,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,29,107,1,0
Shot Chart Detail,0021400100,56,200794,Paul Millsap,1610612737,Atlanta Hawks,1,5,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,89,66,1,0
Shot Chart Detail,0021400100,75,200794,Paul Millsap,1610612737,Atlanta Hawks,1,3,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,181,181,1,1
Shot Chart Detail,0021400100,195,200794,Paul Millsap,1610612737,Atlanta Hawks,2,3,35,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,25,1,0
Shot Chart Detail,0021400100,212,200794,Paul Millsap,1610612737,Atlanta Hawks,2,2,20,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,67,63,1,1
Shot Chart Detail,0021400100,257,200794,Paul Millsap,1610612737,Atlanta Hawks,3,9,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,113,53,1,1
Shot Chart Detail,0021400100,262,200794,Paul Millsap,1610612737,Atlanta Hawks,3,9,18,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,110,66,1,0
Shot Chart Detail,0021400100,279,200794,Paul Millsap,1610612737,Atlanta Hawks,3,7,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,18,247,1,1
Shot Chart Detail,0021400100,288,200794,Paul Millsap,1610612737,Atlanta Hawks,3,6,41,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,29,50,1,0
Shot Chart Detail,0021400100,294,200794,Paul Millsap,1610612737,Atlanta Hawks,3,6,3,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,0,1,1
Shot Chart Detail,0021400100,318,200794,Paul Millsap,1610612737,Atlanta Hawks,3,4,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-161,82,1,1
Shot Chart Detail,0021400100,433,200794,Paul Millsap,1610612737,Atlanta Hawks,4,6,9,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,33,1,0
Shot Chart Detail,0021400100,459,200794,Paul Millsap,1610612737,Atlanta Hawks,4,3,44,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,48,1,0
Shot Chart Detail,0021400100,462,200794,Paul Millsap,1610612737,Atlanta Hawks,4,3,10,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,15,1,0
Shot Chart Detail,0021400110,4,200794,Paul Millsap,1610612737,Atlanta Hawks,1,11,2,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-11,69,1,1
Shot Chart Detail,0021400110,16,200794,Paul Millsap,1610612737,Atlanta Hawks,1,9,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,36,249,1,0
Shot Chart Detail,0021400110,36,200794,Paul Millsap,1610612737,Atlanta Hawks,1,6,54,Missed Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-27,30,1,0
Shot Chart Detail,0021400110,38,200794,Paul Millsap,1610612737,Atlanta Hawks,1,6,52,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1
Shot Chart Detail,0021400110,61,200794,Paul Millsap,1610612737,Atlanta Hawks,1,4,8,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,20,1,0
Shot Chart Detail,0021400110,75,200794,Paul Millsap,1610612737,Atlanta Hawks,1,3,14,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,7,1,1
